society,price,sector,pricePerSqft,propertyType,area,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,furnishDetails,features,balcony
"  central park flower valley, sector-33 sohna, gurgaon",3.75,sector 33,,house,250.0,3.0,3.0,pooja room,"  central park flower valley, sector-33 sohna, gurgaon",1.0,east,0 to 1 Year Old,"['Airia Mall', 'NH 248A', 'GD Goenka Signature School', 'K. R. Mangalam University', 'Vardaan Hospital & Trauma Centre', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'AS Business Park', 'Country Inn & Suites By Radisson', 'De Adventure Park - Adventure sports', 'Golden Greens Golf & Resorts Ltd', 'Tau Devilal Stadium Sohna']","['5 Fan', '16 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",3
"  ardee pavilion villas, sector 52, gurgaon",6.0,sector 52,,house,240.0,9.0,9.0,pooja room,"  ardee pavilion villas, sector 52, gurgaon",3.0,west,1 to 5 Year Old,"['Huda city centre metro station', 'Hanuman Mandir', 'New Life Church', 'Hdfc ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Axis bank ATM', 'State bank of india ATM', 'Rbs ATM', 'Arihant Hospital', 'Gupta', 'Paras Hospital Gurgaon', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Naval Mendiratta', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Pernod Ricard Charitable Dispensary', 'City Medical', 'Gardian Pharmacy', 'Guardian Pharmacy', 'Bharat petroleum', 'Hdfc bank', 'Icici bank', 'Hdfc bank', '222', 'PWO house', 'Raj Restaurant', 'Balaji Vegetarian Paradise', 'Sagar Ratna', 'Cafe Tonini', ""Carl's Jr."", 'Shophouse by Kylin', 'Starbucks', 'The Chicken Boat', 'St. Angels Sr', 'School of Inspired Leadership SOIL', 'Stones2milestones', 'St. Angels Jr', 'Amity Global School', 'Manav Rachna School', 'Dawnbit', 'Mantis Eye LLP', 'Two Horizon Center', 'Manav Rachna Swimming Pool', 'Ncr library']","['1 Water Purifier', '1 Fridge', '15 Fan', '1 Exhaust Fan', '1 Dining Table', '9 Geyser', '1 Stove', '90 Light', '3 TV', '1 Chimney', '12 AC', '1 Curtains', '1 Modular Kitchen', '9 Bed', '9 Wardrobe', '1 Sofa', '1 Microwave', '1 Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",3+
  m3m skycity,3.77,sector 65,18480.39,flat,2040.0,3.0,3.0,servant room,"M3M Skycity Sector 65, Gurgaon",35.0,north,0 to 1 Year Old,"['Millennium City Centre Metro Station', 'Airia Mall', 'Golf Course Ext Rd', 'Gurgaon Faridabad Highway', ""St. Xavier's High School"", 'Gurugram University', 'Park Hospital', 'Indira Gandhi International Airport', 'Gurugram Station', 'Intellion Edge', 'Ramada by Wyndham', 'MadhavGarh Farms', 'DLF Golf and Country Club']","['7 Light', '1 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']",
"  sushant lok phase 1, gurgaon",7.45,sector 43,,house,215.0,4.0,5.0,"pooja room,servant room","  sushant lok phase 1, gurgaon",2.0,north-east,5 to 10 Year Old,"['Huda city centre metro station', 'New Life Church', 'Hanuman Mandir', 'Hdfc bank ATM', 'Standard chartered ATM', 'Hdfc ATM', 'Rbs ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Citi bank ATM', 'Icici ATM', 'Axis bank ATM', 'Hdfc ATM', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Gupta', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Arihant Hospital', 'Paras Hospital Gurgaon', 'Sitaram Bhartia', 'Centre For Sight Gurgaon Sector 29', 'Guardian Pharmacy', 'Chikitsa', 'Gardian Pharmacy', 'City Medical', 'Bharat petroleum', 'Icici bank', 'Hdfc bank', 'Axis bank', 'PWO house', 'Balaji Vegetarian Paradise', 'The Chicken Boat', 'Naveidyam', 'CCD', 'Drunken Monkey', 'Belgian Waffle', 'Starbucks', 'Blue Tokai Coffee Roasters', 'Dighent cafe', 'Pizza Hut', 'Fat', 'Nowhere Brewpub and cafe', 'Stones2milestones', 'School of Inspired Leadership SOIL', 'Mantis Eye LLP', 'Dawnbit', 'PK Online', 'Ncr library', 'Bahrisons library']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",,2
"  cyber city, t block, dlf phase 3, gurgaon",8.39,sector 23,,house,2864.0,6.0,6.0,pooja room,"  cyber city, t block, dlf phase 3, gurgaon",2.0,north-east,5 to 10 Year Old,"['Dlf phase 3 metro station', 'Vodafone belvedere towers metro station', 'Indusind bank cyber city metro station', 'Micromax moulsari avenue metro station', 'Dlf phase 2 metro station', 'Ambience Mall', 'Shri Shiv Shakthi Mandir', 'Kotak mahindra ATM', 'Citibank ATM', 'Abn amro bank ATM', 'Central bank ATM', 'Central bank atm teste 001112', 'Icici bank ATM', 'Darpan Skin & Mind Clinic', 'RBS Dental Clinic', 'Asha Multispeciality Clinic', 'Relief Physiotherapy Clinic', 'Kailash Nursing Home Gurgaon', 'Cosmodentz Dental Clinic', 'Dental Harbour', 'R.N Clinic', 'Shri Ram Memorial Hospital', 'Upkar Clinic', 'Krishna Family Clinic', 'Durga Poly Clinic', ""Dr. Khullar's Dental Clinic"", 'Surgi Center Clinic', 'Garg Dental Care', 'Shri Balaji Medical Store', 'Pharmacy', 'SP Infocity', 'DLF Cyber City Phase II', 'Icici bank', 'Deutsche bank', 'Standard chartered bank', 'PVR Cinames', ""McDonald's"", 'Mc Donalds', 'Food Court', 'The God Father', 'barrique', 'Mukesh Dhaba', 'Cantine', 'Machaan', 'Bain & Company', 'Boston Consulting Group', 'KPMG', 'CEVA Logistics India', 'Microsoft', 'Taikisha Engineering PVT']","['6 Wardrobe', '1 Water Purifier', '10 Fan', '1 Exhaust Fan', '6 Geyser', '19 Light', '1 Curtains', '6 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",3+
"  tulip ivory, sector 70, gurgaon",4.7,sector 70,,house,3850.0,5.0,5.0,servant room,"  tulip ivory, sector 70, gurgaon",12.0,north-east,5 to 10 Year Old,"['Iffco Chowk Metro Station', 'Reach 3 Roads Shopping Mall', 'Badshahpur Sohna Rd Hwy', 'Indus World School', 'DPG Institute of Technology', 'Polaris Hospital', 'Indira Gandhi International Airport', 'Basai Dhankot Railway Station', 'IMT Manesar', 'Radisson Hotel Sohna Road', 'SkyJumper Trampoline Park', 'DLF Golf and Country Club', 'Nehru Stadium']","['5 Wardrobe', '1 Water Purifier', '7 Fan', '1 Exhaust Fan', '3 Geyser', '18 Light', '1 Curtains', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",3+
"  sushant lok 1, sushant lok phase 1, gurgaon",6.7,sector 43,,house,120.0,8.0,8.0,pooja room,"  sushant lok 1, sushant lok phase 1, gurgaon",4.0,west,5 to 10 Year Old,[],"['1 Exhaust Fan', '8 Geyser', '16 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Water Storage', 'Park', 'Visitor Parking', 'Natural Light']",3+
"  dlf city phase 1, sector 26, gurgaon",20.0,sector 26,,house,502.0,4.0,4.0,"pooja room,study room,servant room,store room","  dlf city phase 1, sector 26, gurgaon",3.0,north-east,1 to 5 Year Old,"['Phase 1', 'MGF Megacity Mall', 'NH148A', 'Shiv Nadar School', 'IILM University', 'Paras Hospitals', 'Indira Gandhi International Airport', 'Gurgaon', 'AltF Global Business Park', 'Le Méridien', 'Appu Ghar', 'DLF Golf and Country Club', 'Tau Devi Lal Athletic Stadium']","['1 Water Purifier', '16 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '16 Geyser', '1 Stove', '20 Light', '1 Curtains', '16 AC', '1 Modular Kitchen', '1 TV', '1 Chimney', '1 Bed', '16 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",3+
  indiabulls centrum park,1.5,sector 103,10128.29,flat,1481.0,2.0,2.0,study room,"Indiabulls Centrum Park Sector 103, Gurgaon",5.0,east,1 to 5 Year Old,"['Gurgaon Dreamz Mall', 'HUDA Market, Sector 14', 'Dwarka Expressway', 'Delhi Gurgaon Expressway', 'S N International School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Emaar Business Park', 'Country Inn and Suites by Radisson', 'Sector 29 Gurgaon Pubs and Bars', 'HUDA Mini Golf Course', 'Infinitys Badminton Academy', 'F9 Go Karting Gurgaon']","['1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",
  indiabulls centrum park,2.0,sector 103,10000.0,flat,2000.0,3.0,3.0,study room,"Indiabulls Centrum Park Sector 103, Gurgaon",7.0,north-east,1 to 5 Year Old,"['Gurgaon Dreamz Mall', 'HUDA Market, Sector 14', 'Dwarka Expressway', 'Delhi Gurgaon Expressway', 'S N International School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Emaar Business Park', 'Country Inn and Suites by Radisson', 'Sector 29 Gurgaon Pubs and Bars', 'HUDA Mini Golf Course', 'Infinitys Badminton Academy', 'F9 Go Karting Gurgaon']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,
  ramprastha primera,1.65,sector 37,9166.67,flat,1800.0,3.0,3.0,not available,"Ramprastha Primera Sector 37D, Gurgaon",15.0,north-east,1 to 5 Year Old,"['JMS Marine Square Mall', 'HUDA Market', 'Dwarka Expressway', 'Delhi Jaipur Expressway', 'Blue Bells Public School', 'SGT University', 'Medanta The Medicity', 'Indira Gandhi International Airport', 'infinity Business Park', 'Holiday Inn Gurugram Sector 90']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']",,
  emaar mgf palm terraces select,4.2,sector 66,17427.39,flat,2410.0,4.0,4.0,servant room,"Emaar Mgf Palm Terraces Select Sector 66, Gurgaon",10.0,north,1 to 5 Year Old,"['Sector 55/56 Metro Station', 'Omaxe Gurgaon Mall', 'Golf Course Ext Rd', 'Badshahpur Sohna Rd Hwy', 'DPS International Edge', 'Sushant University', 'Park Hospital', 'Indira Gandhi Intl Airport']","['4 Wardrobe', '6 Fan', '4 Geyser', '10 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  dlf new town heights 2, sector 86, gurgaon",4.1,sector 86,,house,,4.0,4.0,"servant room,pooja room","  dlf new town heights 2, sector 86, gurgaon",3.0,east,5 to 10 Year Old,"['City Square', 'Vatika Town Square', 'Bharat Ram Global School', 'Shishu Kalyan School', 'DSD College', 'Amity University', 'ICFAI University', 'Canara Bank ATM', 'Axis Bank ATM', 'Arc Hospital', 'Rathore IMT Hospital', 'Indira Gandhi Airport', 'Yes Bank', 'Canara Bank', 'Patil Station']","['4 Wardrobe', '7 Fan', '1 Exhaust Fan', '4 Geyser', '14 Light', '1 Modular Kitchen', '1 Chimney', '6 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",3+
"  vipul tatvam villa, sector 48, gurgaon",12.5,sector 48,,house,360.0,4.0,4.0,servant room,"  vipul tatvam villa, sector 48, gurgaon",2.0,east,5 to 10 Year Old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","['1 Microwave', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Centrally Air Conditioned', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Piped-gas', 'Visitor Parking', 'Natural Light', 'Spacious Interiors', 'Low Density Society', 'Club house / Community Center']",3
  vipul greens,3.2,sector 48,17204.3,flat,1860.0,3.0,4.0,"study room,servant room","Vipul Greens Sector 48, Gurgaon",10.0,east,1 to 5 Year Old,"['Huda City Metro Station', 'Elements One Mall', 'Sohna Road', 'Rajiv Chawk', 'Delhi Jaipur Expressway', 'GD Goenka Public School', 'Gurugram University', 'Medanta Hospital', 'Indira Gandhi International Airport', 'Welldone Techpark', 'HUDA Mini Golf Course', 'Tau DeviLal Sports Complex', 'Flow Sports Life Badminton Academy', 'SkyJumper Trampoline Park', 'SCC Drive-In Cinema']","['1 Water Purifier', '1 Fridge', '4 Fan', '1 Exhaust Fan', '1 Dining Table', '4 Geyser', '1 Stove', '13 Light', '6 AC', '1 Modular Kitchen', '2 TV', '1 Curtains', '1 Chimney', '3 Wardrobe', '3 Bed', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
  adani m2k oyster grande,3.7,sector 102,11569.73,flat,3198.0,4.0,5.0,not available,"Adani M2K Oyster Grande Sector 102, Gurgaon",10.0,south-west,1 to 5 Year Old,"['The Esplanade Mall', 'Dwarka Express Highway', 'Delhi Public School', 'SGT University', 'The Signature Hospital', 'Indira Gandhi Airport', 'Gurugram Railway Station', 'Nehru Stadium']","['5 Fan', '5 Light', '5 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",
"  paras dews, sector 106, gurgaon",1.65,sector 106,,house,,2.0,3.0,pooja room,"  paras dews, sector 106, gurgaon",24.0,east,1 to 5 Year Old,"['MG Road Metro Station', 'NeoSquare Shopping Mall', 'Dwarka Expressway', 'Glorious World School', 'DPG Institute of Technology', 'Chirag Hospital', 'Indira Gandhi International Airport', 'Gurgaon', 'Country Inn & Suites by Radisson', 'SkyJumper Trampoline Park', 'Hamoni Golf Camp']","['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",2
