,society,price,area,areaWithType,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,description,furnishDetails,features,propertyId,links
541, in Sobha City,4.15 Crore,2072.0,1308.68,3 Bedrooms,3 Bathrooms,,"Sobha City
Sector 108, Gurgaon",14th   of 24 Floors,East,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'WTC Plaza', 'Dwarka Expressway', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Chintels Corporate Park Sec 114 Gurgaon', 'Country Inn & Suites by Radisson', 'Hamoni Golf Camp', 'Tau DeviLal Sports Complex']","This beautiful 3 bhk flat in sector 108 gurgaon is situated in sobha city, one of the popular residential society in gurgaon. This residential flat is east-Facing direction. Constructed on a super built up area of 2072 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. The residen...","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,X77232855,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2072-sq-ft-spid-X77232855
542, in Ramprastha The Edge Towers,1.55 Crore,1800.0,1250.0,3 Bedrooms,3 Bathrooms,,"Ramprastha The Edge Towers
Sector 37D, Gurgaon",7th   of 19 Floors,North-East,0 to 1 Year Old,"['The Esplanade Mall', 'Dwarka Express', 'Euro International School', 'Narayana Junior College', 'Yashroop Hospital', 'Indira Gandhi International Airport', 'Gurugram Railway Station', 'Aboard Offices Complex', 'Holiday Inn Hotel']",Ready to move in 3 bhk spacious flat for sale. Serious buyer can contact. We have many options 2/3/4 bhk.,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",,U80096033,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-the-edge-towers-sector-37d-gurgaon-1800-sq-ft-spid-U80096033
543, in Ireo Skyon,3.9 Crore,2047.0,1947.0,3 Bedrooms,3 Bathrooms,Servant Room,"Ireo Skyon
Sector 60, Gurgaon",13rd   of 39 Floors,South-East,1 to 5 Year Old,"['Sector 55-56 Metro', 'Golf Course Extension', 'Adarsh Senior Secondary School', 'Swastik Hospital Sec 66', 'IGI Airport', 'Surajgarh Gurgaon, Golf Course Ext Rd', 'International Tech Park Gurgaon,']","An excellent 3 bhk residential apartment is for sale in ireo skyon apartment sector 60, gurgaon. It is well designed and spacious 3 bhk flat and 3 spacious bathrooms. With servant room. It is quite airy and gets plenty of natural sun light. The flat has area of 2047 sq. Ft. It has granite marble flo...","['3 Wardrobe', '11 Fan', '1 Exhaust Fan', '4 Geyser', '41 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",C80063265,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ireo-skyon-sector-60-gurgaon-2047-sq-ft-spid-C80063265
544, in ATS Tourmaline,3.1 Crore,2585.0,2100.0,3 Bedrooms,4 Bathrooms,Servant Room,"ATS Tourmaline
Sector 109, Gurgaon",16th   of 27 Floors,North-East,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'NeoSquare Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Accenture DDC5', 'Hyatt Place Gurgaon Udyog Vihar', 'Hamoni Golf Camp', 'Nehru Stadium']","Looking for a 3 bhk property for sale in gurgaon? Buy this 3 bhk flat in ats tourmaline that is situated in sector 109 gurgaon. This is a north-East-Facing property. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and more than 3 balconies. All in all, the flat is spread over a super ...","['5 Fan', '1 Exhaust Fan', '10 Light', '1 Curtains', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",S77220135,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-tourmaline-sector-109-gurgaon-2585-sq-ft-spid-S77220135
545, in Sobha City,3.9 Crore,2003.0,1280.17,3 Bedrooms,4 Bathrooms,,"Sobha City
Sector 108, Gurgaon",8th   of 24 Floors,North-East,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'WTC Plaza', 'Dwarka Expressway', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Chintels Corporate Park Sec 114 Gurgaon', 'Country Inn & Suites by Radisson', 'Hamoni Golf Camp', 'Tau DeviLal Sports Complex']","Check out this 3 bhk apartment for sale in sobha city, a popular residential project that houses in-Demand flats in sector 108 gurgaon. The flat is north-East-Facing. Constructed on a super built up area of 2003 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and 2 balconies. The residential bu...","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,P77226129,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2003-sq-ft-spid-P77226129
546, in Samanvay Apartment,2.5 Crore,2300.0,2000.0,3 Bedrooms,4 Bathrooms,"Servant Room,Others","Samanvay Apartment
Sector 56, Gurgaon",6th   of 6 Floors,North,10+ Year Old,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Hong Kong Bazaar Mall', 'Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'Icici bank ATM', 'State bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Surgicare Hospital Gurgaon', 'Arunodaya Deseret Eye Hospital', 'Vatsalya Clinic', 'HUDA Office Complex', 'Medisca', 'Apollo Pharmacy', 'Intellion Park', 'International Tech Park', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank and atm', 'Hdfc bank', 'Kotak mahindra bank', 'State bank of india', 'Indusind bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', '222', 'Pizza Hut', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Madison and Pike', 'IILM', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Suncity School', 'Gurugram University', 'Unitech Business Park']","This lovely 3 bhk apartment/flat in sector 56 gurgaon is available for sale in one of gurgaon's most popular projects, samanvay apartment. The flat is facing the north direction. Containing 3 bedroom(s), 4 bathrooms and 3 balconies, this flat is spread over a super built up area of 2300 sq.Ft. This ...","['3 Wardrobe', '7 Fan', '1 Exhaust Fan', '3 Geyser', '12 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",K79773347,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-samanvay-apartment-sector-56-gurgaon-2300-sq-ft-spid-K79773347
547, in Conscient Elevate,8.75 Crore,,3400.0,4 Bedrooms,5 Bathrooms,Servant Room,"Conscient Elevate
Sector 59, Gurgaon",5th   of 33 Floors,West,1 to 5 Year Old,"['Rapid Metro Station Sector 55', 'Paras Trinity Mall Sector 63', 'Badshahpur Sohna Rd Highway', 'Mehrauli-Gurgaon Road', 'DPS International School Sector 50', 'Gurugram University Sector 51', 'W Pratiksha Hospital Sector 56', 'Indira Gandhi International Airport', 'Gurugram Railway Station', 'International Tech Park Gurgaon', 'Grand Hyatt Gurgaon', 'Mannat Park', 'ZEN Golf Range & Academy', 'Tau DeviLal Sports Complex']","This 4 bhk flat is located in conscient elevate, which houses some of the most spacious flats in sector 59 gurgaon. The flat is facing the west direction. The floor plan additionally contains 4 bedroom(s), 5 bathrooms and 2 balconies. All in all, the flat is spread over a built up area of 3400 sq.Ft...","['5 Fan', '1 Stove', '7 Light', '1 Modular Kitchen', '5 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",U79731125,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-conscient-elevate-sector-59-gurgaon-3400-sq-ft-r1-spid-U79731125
548, in DLF The Ultima,3.55 Crore,2100.0,1350.0,3 Bedrooms,4 Bathrooms,Servant Room,"DLF The Ultima
Sector 81, Gurgaon",7th   of 29 Floors,East,1 to 5 Year Old,"['Huda Metro Station (Gurugram)', 'Vatika Town Square-INXT', 'Manesar Road', 'NH 48', 'Euro International School, Sec 84', 'SGT University', 'Miracles Apollo Cradle Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","This lovely 3 bhk apartment/flat in sector 81 gurgaon is available for sale in one of gurgaon's most popular projects, dlf the ultima. The flat is east-Facing. The flat is over 2100 sq.Ft. Super built up area and comes with 3 bedroom(s), 4 bathrooms and more than 3 balconies. The residential buildin...","['1 Water Purifier', '7 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', '15 Light', '5 AC', '1 Modular Kitchen', '1 Curtains', '1 Chimney', '1 TV', '3 Wardrobe', '1 Microwave', '1 Washing Machine', 'No Bed', 'No Sofa']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",C80372965,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2100-sq-ft-spid-C80372965
549, in DLF The Ultima,3.6 Crore,2100.0,1350.0,3 Bedrooms,4 Bathrooms,"Servant Room,Pooja Room,Study Room,Others","DLF The Ultima
Sector 81, Gurgaon",15th   of 29 Floors,East,1 to 5 Year Old,"['Huda Metro Station (Gurugram)', 'Vatika Town Square-INXT', 'Manesar Road', 'NH 48', 'Euro International School, Sec 84', 'SGT University', 'Miracles Apollo Cradle Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","Situated in sector 81 gurgaon, dlf the ultima is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in gurgaon is your opportunity to be a part of this community. The flat is facing the east direction. Constructed on a super built up area of 2100 sq.Ft....","['1 Water Purifier', '1 Fridge', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '15 Light', '1 Curtains', '5 AC', '1 Modular Kitchen', '1 Chimney', '3 Wardrobe', '1 Washing Machine', '1 Microwave', 'No Bed', 'No Dining Table', 'No Sofa', 'No TV']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",T79745133,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2100-sq-ft-spid-T79745133
550, in Ireo The Grand Arch,5.5 Crore,,2100.0,3 Bedrooms,3 Bathrooms,,"Ireo The Grand Arch
sector 58, Gurgaon",12nd   of 29 Floors,South,5 to 10 Year Old,"['Sector 55-56 Rapid Metro', 'Paras Trinity Mall', 'Rajesh Pilot Road', 'Shalom Presidency School', 'Sushant University', 'W Pratiksha Hospital', 'Indira Gandhi International Airport', 'International Tech Park Gurgaon', 'Grand Hyatt Gurgaon', 'Grand Hyatt Gurgaon', 'Jinga Lala Theme Park Gurgaon Delhi', 'TERI Golf Course', 'Tau DeviLal Sports Complex']","Looking for a 3 bhk property for sale in gurgaon? Buy this 3 bhk flat in ireo the grand arch that is situated in sector 58 gurgaon. Constructed on a built up area of 2100 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. This flat is situated on the 12th floor of this 29 floors t...","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Piped-gas', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,R79667639,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ireo-the-grand-arch-sector-58-gurgaon-2100-sq-ft-spid-R79667639
551, in Ireo Victory Valley,5.85 Crore,2830.0,,4 Bedrooms,4 Bathrooms,Servant Room,"Ireo Victory Valley
Sector 67, Gurgaon",4th   of 51 Floors,South-West,5 to 10 Year Old,"['AIPL Joy Street Mall', 'Golf Course Extension Road', 'Alpine Convent School', 'DPG Institute of Technology', 'CK Birla Hospital', 'Indira Gandhi International Airport', 'iON Digital Zone (Gurugram)', 'Radisson Hotel Sohna Road', 'SkyJumper Trampoline Park', 'HUDA Mini Golf Course', 'PVR Drive in Theatre']","This apartment on sale has exclusive view of the complex and it has 4 bedroom and 3 attached bathroom and one common bathroom. There is one utility area and staff quarter.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shop...","['3 Wardrobe', '1 Water Purifier', '6 Fan', '1 Exhaust Fan', '4 Geyser', '1 Stove', '10 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",G78765217,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ireo-victory-valley-sector-67-gurgaon-2830-sq-ft-spid-G78765217
552, in Tulip Yellow,2.33 Crore,1704.0,1034.31,3 Bedrooms,3 Bathrooms,,"Tulip Yellow
Sector 69, Gurgaon",7th   of 26 Floors,North-East,0 to 1 Year Old,"['Sector 55-56 Metro Station', 'Airia Mall', 'Badshahpur Sohna Rd Highway', 'KIIT', 'Ananta Hospital', 'Park Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Spaze Corporate Park', 'Hyatt Regency Gurugram', 'De Adventure Park', 'Golden Greens Golf & Resorts', 'Tau DeviLal Sports Complex']","This beautiful 3 bhk flat in sector 69 gurgaon is situated in tulip yellow, one of the popular residential society in gurgaon. This property faces the north-East direction. Containing 3 bedroom(s), 3 bathrooms and 3 balconies, this flat is spread over a super built up area of 1704 sq.Ft. This flat i...","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,O79750883,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-yellow-sector-69-gurgaon-1704-sq-ft-spid-O79750883
